Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 2.0,FPN 2.0,Bhutan,BTN,2018,YR2018,..,..,4.587,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.096,..,..,..,..,..,45.5,..,..,0.3,762096
Food Prices for Nutrition 2.0,FPN 2.0,Bhutan,BTN,2019,YR2019,..,..,4.712,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.207,..,..,..,..,..,42.3,..,..,0.3,767459
Food Prices for Nutrition 2.0,FPN 2.0,Bhutan,BTN,2020,YR2020,..,..,5.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.482,..,..,..,..,..,45.7,..,..,0.4,772506
Food Prices for Nutrition 2.0,FPN 2.0,Bhutan,BTN,2021,YR2021,..,..,5.339,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.767,..,..,..,..,..,45.2,..,..,0.4,777486
Food Prices for Nutrition 2.0,FPN 2.0,Bolivia,BOL,2017,YR2017,1.468,3.338,3.551,2.42,0.411,0.644,0.781,1.046,0.53,0.14,0.116,0.181,0.22,0.295,0.149,0.039,0.53,0.82,1.34,0.68,0.18,1.311,2.98,3.171,0.258,0.586,0.624,6.8,19.1,20.9,0.8,2.2,2.4,11435533
Food Prices for Nutrition 2.0,FPN 2.0,Bolivia,BOL,2018,YR2018,..,..,3.648,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.257,..,..,..,..,..,19.1,..,..,2.2,11606905
Food Prices for Nutrition 2.0,FPN 2.0,Bolivia,BOL,2019,YR2019,..,..,3.769,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.365,..,..,..,..,..,16,..,..,1.9,11777315
Food Prices for Nutrition 2.0,FPN 2.0,Bolivia,BOL,2020,YR2020,..,..,3.755,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.353,..,..,..,..,..,17.2,..,..,2.1,11936162
Food Prices for Nutrition 2.0,FPN 2.0,Bolivia,BOL,2021,YR2021,..,..,3.927,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.506,..,..,..,..,..,15.1,..,..,1.8,12079472
Food Prices for Nutrition 2.0,FPN 2.0,Bonaire,BON,2017,YR2017,0.746,3.329,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.666,2.972,..,0.225,1.002,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Bonaire,BON,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Bonaire,BON,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Bonaire,BON,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Bonaire,BON,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Food Prices for Nutrition 2.0,FPN 2.0,Bosnia and Herzegovina,BIH,2017,YR2017,0.691,3.051,3.847,5.57,0.916,0.825,0.54,0.921,0.512,0.132,0.238,0.214,0.14,0.239,0.133,0.034,1.7,1.53,1.71,0.95,0.24,0.617,2.724,3.435,0.087,0.386,0.487,0,2.4,4.7,0,0.1,0.2,3440027
Food Prices for Nutrition 2.0,FPN 2.0,Bosnia and Herzegovina,BIH,2018,YR2018,..,..,3.907,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.488,..,..,..,..,..,4,..,..,0.1,3400129
Food Prices for Nutrition 2.0,FPN 2.0,Bosnia and Herzegovina,BIH,2019,YR2019,..,..,4.043,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.61,..,..,..,..,..,3.9,..,..,0.1,3360711
Food Prices for Nutrition 2.0,FPN 2.0,Bosnia and Herzegovina,BIH,2020,YR2020,..,..,3.961,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.537,..,..,..,..,..,3,..,..,0.1,3318407
Food Prices for Nutrition 2.0,FPN 2.0,Bosnia and Herzegovina,BIH,2021,YR2021,..,..,4.105,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.665,..,..,..,..,..,3,..,..,0.1,3270943
Food Prices for Nutrition 2.0,FPN 2.0,Botswana,BWA,2017,YR2017,0.505,2.25,3.622,7.17,0.795,0.796,0.39,1.097,0.402,0.142,0.219,0.22,0.108,0.303,0.111,0.039,2.04,2.04,2.81,1.03,0.36,0.451,2.009,3.234,0.038,0.17,0.274,1.3,44.3,63.2,0,1.1,1.5,2401840
Food Prices for Nutrition 2.0,FPN 2.0,Botswana,BWA,2018,YR2018,..,..,3.575,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.192,..,..,..,..,..,60.8,..,..,1.5,2451409
Food Prices for Nutrition 2.0,FPN 2.0,Botswana,BWA,2019,YR2019,..,..,3.591,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.206,..,..,..,..,..,59.8,..,..,1.5,2499702
Food Prices for Nutrition 2.0,FPN 2.0,Botswana,BWA,2020,YR2020,..,..,3.701,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.304,..,..,..,..,..,63.4,..,..,1.6,2546402
Food Prices for Nutrition 2.0,FPN 2.0,Botswana,BWA,2021,YR2021,..,..,3.829,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.419,..,..,..,..,..,60.3,..,..,1.6,2588423
Food Prices for Nutrition 2.0,FPN 2.0,Brazil,BRA,2017,YR2017,0.848,2.657,2.809,3.31,0.46,0.465,0.439,0.635,0.742,0.067,0.164,0.166,0.156,0.226,0.264,0.024,1.05,1.06,1.45,1.69,0.15,0.757,2.372,2.508,0.191,0.599,0.634,3.5,18.1,19.6,7.3,37.8,41,208504960
Food Prices for Nutrition 2.0,FPN 2.0,Brazil,BRA,2018,YR2018,..,..,2.8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,18.5,..,..,38.9,210166592
Food Prices for Nutrition 2.0,FPN 2.0,Brazil,BRA,2019,YR2019,..,..,2.882,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.573,..,..,..,..,..,18.8,..,..,39.9,211782878
Food Prices for Nutrition 2.0,FPN 2.0,Brazil,BRA,2020,YR2020,..,..,3.084,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.754,..,..,..,..,..,12.7,..,..,27.1,213196304
Food Prices for Nutrition 2.0,FPN 2.0,Brazil,BRA,2021,YR2021,..,..,3.35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.991,..,..,..,..,..,22.4,..,..,48,214326223
Food Prices for Nutrition 2.0,FPN 2.0,British Virgin Islands,VGB,2017,YR2017,1.563,3.059,3.235,2.07,0.425,0.785,0.808,0.828,0.237,0.152,0.131,0.243,0.25,0.256,0.073,0.047,0.53,0.97,1.02,0.29,0.19,1.396,2.731,2.888,0.173,0.338,0.358,..,..,..,..,..,..,30060
Food Prices for Nutrition 2.0,FPN 2.0,British Virgin Islands,VGB,2018,YR2018,..,..,3.087,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.756,..,..,..,..,..,..,..,..,..,30335
Food Prices for Nutrition 2.0,FPN 2.0,British Virgin Islands,VGB,2019,YR2019,..,..,3.281,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.929,..,..,..,..,..,..,..,..,..,30610
Food Prices for Nutrition 2.0,FPN 2.0,British Virgin Islands,VGB,2020,YR2020,..,..,3.22,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.875,..,..,..,..,..,..,..,..,..,30910
Food Prices for Nutrition 2.0,FPN 2.0,British Virgin Islands,VGB,2021,YR2021,..,..,3.425,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.058,..,..,..,..,..,..,..,..,..,31122
Food Prices for Nutrition 2.0,FPN 2.0,Brunei Darussalam,BRN,2017,YR2017,0.762,2.376,4.126,5.41,0.894,0.932,0.674,1.123,0.405,0.098,0.217,0.226,0.163,0.272,0.098,0.024,1.33,1.38,1.67,0.6,0.15,0.68,2.121,3.684,0.143,0.445,0.772,..,..,..,..,..,..,430276
Food Prices for Nutrition 2.0,FPN 2.0,Brunei Darussalam,BRN,2018,YR2018,..,..,4.263,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.806,..,..,..,..,..,..,..,..,..,434274
Food Prices for Nutrition 2.0,FPN 2.0,Brunei Darussalam,BRN,2019,YR2019,..,..,4.327,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.863,..,..,..,..,..,..,..,..,..,438048
Food Prices for Nutrition 2.0,FPN 2.0,Brunei Darussalam,BRN,2020,YR2020,..,..,4.405,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.933,..,..,..,..,..,..,..,..,..,441725
Food Prices for Nutrition 2.0,FPN 2.0,Brunei Darussalam,BRN,2021,YR2021,..,..,4.641,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.144,..,..,..,..,..,..,..,..,..,445373
Food Prices for Nutrition 2.0,FPN 2.0,Bulgaria,BGR,2017,YR2017,0.504,2.768,3.78,7.5,0.959,0.774,0.504,0.963,0.478,0.101,0.254,0.205,0.133,0.255,0.126,0.027,1.9,1.54,1.91,0.95,0.2,0.45,2.471,3.375,0.077,0.422,0.576,0.3,6.3,10.6,0,0.4,0.8,7075947
Food Prices for Nutrition 2.0,FPN 2.0,Bulgaria,BGR,2018,YR2018,..,..,3.876,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.461,..,..,..,..,..,8.6,..,..,0.6,7025037
Food Prices for Nutrition 2.0,FPN 2.0,Bulgaria,BGR,2019,YR2019,..,..,4.036,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.604,..,..,..,..,..,8.1,..,..,0.6,6975761
Food Prices for Nutrition 2.0,FPN 2.0,Bulgaria,BGR,2020,YR2020,..,..,4.129,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.687,..,..,..,..,..,5.8,..,..,0.4,6934015
Food Prices for Nutrition 2.0,FPN 2.0,Bulgaria,BGR,2021,YR2021,..,..,4.151,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.706,..,..,..,..,..,4.2,..,..,0.3,6877743
Food Prices for Nutrition 2.0,FPN 2.0,Burkina Faso,BFA,2017,YR2017,0.574,2.538,3.173,5.53,0.354,0.917,0.439,1.145,0.127,0.19,0.112,0.289,0.138,0.361,0.04,0.06,0.81,2.09,2.61,0.29,0.43,0.513,2.266,2.833,0.361,1.598,1.997,5.4,76.2,83,1.1,15.1,16.5,19835858
Food Prices for Nutrition 2.0,FPN 2.0,Burkina Faso,BFA,2018,YR2018,..,..,3.296,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.943,..,..,..,..,..,79.7,..,..,16.3,20392723
Food Prices for Nutrition 2.0,FPN 2.0,Burkina Faso,BFA,2019,YR2019,..,..,3.24,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.893,..,..,..,..,..,76.8,..,..,16.1,20951639
Food Prices for Nutrition 2.0,FPN 2.0,Burkina Faso,BFA,2020,YR2020,..,..,3.345,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.987,..,..,..,..,..,77.6,..,..,16.7,21522626
Food Prices for Nutrition 2.0,FPN 2.0,Burkina Faso,BFA,2021,YR2021,..,..,3.611,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.224,..,..,..,..,..,77.6,..,..,17.2,22100683
Food Prices for Nutrition 2.0,FPN 2.0,Burundi,BDI,2017,YR2017,0.708,1.589,2.988,4.22,0.447,0.532,0.615,1.112,0.174,0.107,0.15,0.178,0.206,0.372,0.058,0.036,0.73,0.87,1.81,0.28,0.17,0.632,1.419,2.668,0.808,1.814,3.412,41.5,84.1,95.8,4.6,9.4,10.7,11155593
Food Prices for Nutrition 2.0,FPN 2.0,Burundi,BDI,2018,YR2018,..,..,2.804,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.504,..,..,..,..,..,95,..,..,10.9,11493472
Food Prices for Nutrition 2.0,FPN 2.0,Burundi,BDI,2019,YR2019,..,..,2.783,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.485,..,..,..,..,..,95,..,..,11.3,11874838
Food Prices for Nutrition 2.0,FPN 2.0,Burundi,BDI,2020,YR2020,..,..,2.943,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.628,..,..,..,..,..,95.7,..,..,11.7,12220227
Food Prices for Nutrition 2.0,FPN 2.0,Burundi,BDI,2021,YR2021,..,..,3.138,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.802,..,..,..,..,..,95.9,..,..,12,12551213
Food Prices for Nutrition 2.0,FPN 2.0,Cabo Verde,CPV,2017,YR2017,0.62,2.522,3.358,5.42,0.823,1.036,0.342,0.779,0.281,0.098,0.245,0.309,0.102,0.232,0.084,0.029,2.41,3.03,2.28,0.82,0.29,0.554,2.252,2.998,0.139,0.565,0.753,0.3,29.7,44.5,0,0.2,0.3,564954
Food Prices for Nutrition 2.0,FPN 2.0,Cabo Verde,CPV,2018,YR2018,..,..,3.413,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.047,..,..,..,..,..,42.2,..,..,0.2,571202
Food Prices for Nutrition 2.0,FPN 2.0,Cabo Verde,CPV,2019,YR2019,..,..,3.484,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.111,..,..,..,..,..,39.7,..,..,0.2,577030
Food Prices for Nutrition 2.0,FPN 2.0,Cabo Verde,CPV,2020,YR2020,..,..,3.563,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.181,..,..,..,..,..,44,..,..,0.3,582640
Food Prices for Nutrition 2.0,FPN 2.0,Cabo Verde,CPV,2021,YR2021,..,..,3.683,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.288,..,..,..,..,..,41.2,..,..,0.2,587925
Food Prices for Nutrition 2.0,FPN 2.0,Cambodia,KHM,2017,YR2017,0.993,2.761,3.618,3.64,0.526,0.791,0.503,1.226,0.422,0.15,0.145,0.219,0.139,0.339,0.117,0.041,1.05,1.57,2.44,0.84,0.3,0.887,2.465,3.23,0.256,0.712,0.933,..,..,..,..,..,..,15830689
Food Prices for Nutrition 2.0,FPN 2.0,Cambodia,KHM,2018,YR2018,..,..,3.706,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.309,..,..,..,..,..,..,..,..,..,16025238
Food Prices for Nutrition 2.0,FPN 2.0,Cambodia,KHM,2019,YR2019,..,..,3.778,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.373,..,..,..,..,..,..,..,..,..,16207746
Food Prices for Nutrition 2.0,FPN 2.0,Cambodia,KHM,2020,YR2020,..,..,3.888,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.471,..,..,..,..,..,..,..,..,..,16396860
Food Prices for Nutrition 2.0,FPN 2.0,Cambodia,KHM,2021,YR2021,..,..,4.064,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.629,..,..,..,..,..,..,..,..,..,16589023
Food Prices for Nutrition 2.0,FPN 2.0,Cameroon,CMR,2017,YR2017,0.894,2.065,2.616,2.93,0.447,0.592,0.48,0.837,0.144,0.116,0.171,0.226,0.183,0.32,0.055,0.044,0.93,1.23,1.74,0.3,0.24,0.798,1.844,2.336,0.385,0.89,1.128,15.7,48.6,59.2,3.8,11.9,14.4,24393181
Food Prices for Nutrition 2.0,FPN 2.0,Cameroon,CMR,2018,YR2018,..,..,2.684,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.396,..,..,..,..,..,58.8,..,..,14.7,25076747
Food Prices for Nutrition 2.0,FPN 2.0,Cameroon,CMR,2019,YR2019,..,..,2.744,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.45,..,..,..,..,..,58.7,..,..,15.1,25782341
Food Prices for Nutrition 2.0,FPN 2.0,Cameroon,CMR,2020,YR2020,..,..,2.808,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.507,..,..,..,..,..,59.8,..,..,15.8,26491087
Food Prices for Nutrition 2.0,FPN 2.0,Cameroon,CMR,2021,YR2021,..,..,2.997,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.676,..,..,..,..,..,60.5,..,..,16.5,27198628
Food Prices for Nutrition 2.0,FPN 2.0,Canada,CAN,2017,YR2017,0.673,2.111,2.863,4.25,0.673,0.605,0.43,0.766,0.31,0.078,0.235,0.211,0.15,0.268,0.108,0.027,1.57,1.41,1.78,0.72,0.18,0.601,1.885,2.556,0.106,0.333,0.451,0,0.5,0.7,0,0.2,0.3,36545236
Food Prices for Nutrition 2.0,FPN 2.0,Canada,CAN,2018,YR2018,..,..,2.911,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.599,..,..,..,..,..,0.7,..,..,0.3,37065084
Food Prices for Nutrition 2.0,FPN 2.0,Canada,CAN,2019,YR2019,..,..,2.927,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.613,..,..,..,..,..,0.7,..,..,0.3,37601230
Food Prices for Nutrition 2.0,FPN 2.0,Canada,CAN,2020,YR2020,..,..,3.017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.694,..,..,..,..,..,0.7,..,..,0.3,38037204
Food Prices for Nutrition 2.0,FPN 2.0,Canada,CAN,2021,YR2021,..,..,3.065,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.737,..,..,..,..,..,0.4,..,..,0.2,38246108
Food Prices for Nutrition 2.0,FPN 2.0,Cayman Islands,CYM,2017,YR2017,1.095,2.231,2.928,2.67,0.654,0.75,0.556,0.585,0.257,0.125,0.223,0.256,0.19,0.2,0.088,0.043,1.18,1.35,1.05,0.46,0.22,0.978,1.992,2.614,0.175,0.358,0.469,..,..,..,..,..,..,63581
Food Prices for Nutrition 2.0,FPN 2.0,Cayman Islands,CYM,2018,YR2018,..,..,2.866,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.559,..,..,..,..,..,..,..,..,..,64884
Food Prices for Nutrition 2.0,FPN 2.0,Cayman Islands,CYM,2019,YR2019,..,..,2.701,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.412,..,..,..,..,..,..,..,..,..,66134
Food Prices for Nutrition 2.0,FPN 2.0,Cayman Islands,CYM,2020,YR2020,..,..,2.91,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.598,..,..,..,..,..,..,..,..,..,67311
Food Prices for Nutrition 2.0,FPN 2.0,Cayman Islands,CYM,2021,YR2021,..,..,3.05,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.723,..,..,..,..,..,..,..,..,..,68136
Food Prices for Nutrition 2.0,FPN 2.0,Central African Republic,CAF,2017,YR2017,1.021,1.706,3.423,3.35,0.345,0.955,0.525,1.284,0.141,0.174,0.101,0.279,0.153,0.375,0.041,0.051,0.66,1.82,2.45,0.27,0.33,0.912,1.523,3.056,0.823,1.376,2.761,67,83.3,94.6,3.3,4.2,4.7,4996741
Food Prices for Nutrition 2.0,FPN 2.0,Central African Republic,CAF,2018,YR2018,..,..,3.507,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.131,..,..,..,..,..,94.5,..,..,4.8,5094780
Food Prices for Nutrition 2.0,FPN 2.0,Central African Republic,CAF,2019,YR2019,..,..,3.57,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.188,..,..,..,..,..,94.4,..,..,4.9,5209324
Food Prices for Nutrition 2.0,FPN 2.0,Central African Republic,CAF,2020,YR2020,..,..,3.615,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.228,..,..,..,..,..,94.5,..,..,5,5343020
Food Prices for Nutrition 2.0,FPN 2.0,Central African Republic,CAF,2021,YR2021,..,..,3.784,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.379,..,..,..,..,..,94.6,..,..,5.2,5457154
Food Prices for Nutrition 2.0,FPN 2.0,Chad,TCD,2017,YR2017,0.709,1.761,2.831,3.99,0.39,0.703,0.497,0.882,0.187,0.172,0.138,0.248,0.176,0.312,0.066,0.061,0.78,1.41,1.77,0.38,0.35,0.633,1.572,2.528,0.365,0.907,1.458,11.3,60.6,82.7,1.7,9.1,12.5,15085884
Food Prices for Nutrition 2.0,FPN 2.0,Chad,TCD,2018,YR2018,..,..,2.735,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.442,..,..,..,..,..,80.9,..,..,12.6,15604210
Food Prices for Nutrition 2.0,FPN 2.0,Chad,TCD,2019,YR2019,..,..,2.666,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.38,..,..,..,..,..,79.3,..,..,12.8,16126866
Food Prices for Nutrition 2.0,FPN 2.0,Chad,TCD,2020,YR2020,..,..,2.827,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.524,..,..,..,..,..,82.4,..,..,13.7,16644701
Food Prices for Nutrition 2.0,FPN 2.0,Chad,TCD,2021,YR2021,..,..,2.941,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.626,..,..,..,..,..,83.1,..,..,14.3,17179740
Food Prices for Nutrition 2.0,FPN 2.0,Chile,CHL,2017,YR2017,0.644,2.179,3.053,4.74,0.619,0.94,0.352,0.765,0.261,0.116,0.203,0.308,0.115,0.251,0.085,0.038,1.76,2.67,2.17,0.74,0.33,0.575,1.946,2.726,0.104,0.35,0.491,0.2,1.6,4.6,0,0.3,0.8,18368577
Food Prices for Nutrition 2.0,FPN 2.0,Chile,CHL,2018,YR2018,..,..,3.18,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.839,..,..,..,..,..,4.5,..,..,0.8,18701450
Food Prices for Nutrition 2.0,FPN 2.0,Chile,CHL,2019,YR2019,..,..,3.276,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.925,..,..,..,..,..,4.7,..,..,0.9,19039485
Food Prices for Nutrition 2.0,FPN 2.0,Chile,CHL,2020,YR2020,..,..,3.349,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.99,..,..,..,..,..,5.9,..,..,1.1,19300315
Food Prices for Nutrition 2.0,FPN 2.0,Chile,CHL,2021,YR2021,..,..,3.387,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.024,..,..,..,..,..,3.5,..,..,0.7,19493184
Food Prices for Nutrition 2.0,FPN 2.0,China,CHN,2017,YR2017,0.848,2.111,2.571,3.03,0.617,0.478,0.429,0.672,0.281,0.093,0.24,0.186,0.167,0.261,0.109,0.036,1.44,1.11,1.57,0.66,0.22,0.757,1.885,2.296,0.308,0.767,0.935,0.2,9.7,16.6,2.9,135.5,232.2,1396215000
Food Prices for Nutrition 2.0,FPN 2.0,China,CHN,2018,YR2018,..,..,2.63,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.348,..,..,..,..,..,13.6,..,..,190.8,1402760000
Food Prices for Nutrition 2.0,FPN 2.0,China,CHN,2019,YR2019,..,..,2.792,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.493,..,..,..,..,..,12.2,..,..,171.9,1407745000
Food Prices for Nutrition 2.0,FPN 2.0,China,CHN,2020,YR2020,..,..,2.983,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.663,..,..,..,..,..,15.9,..,..,224.4,1411100000
Food Prices for Nutrition 2.0,FPN 2.0,China,CHN,2021,YR2021,..,..,2.96,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.643,..,..,..,..,..,10.9,..,..,153.9,1412360000
Food Prices for Nutrition 2.0,FPN 2.0,Colombia,COL,2017,YR2017,0.991,2.526,2.863,2.89,0.492,0.617,0.548,0.798,0.262,0.146,0.172,0.216,0.191,0.279,0.092,0.051,0.9,1.13,1.46,0.48,0.27,0.885,2.255,2.556,0.223,0.569,0.645,3.5,20.3,24.8,1.7,9.8,12,48351671
